#K-Path          Energy     s      p      d    tot
# NKPTS & NBANDS: 200  40
# Band-Index    1
   0.00000    -14.258497  0.598  0.126  0.000  0.724
   0.01484    -14.269652  0.596  0.128  0.000  0.724
   0.02968    -14.301701  0.588  0.134  0.000  0.722
   0.04453    -14.351140  0.578  0.140  0.000  0.718
   0.05937    -14.413866  0.570  0.146  0.000  0.714
   0.07421    -14.486208  0.560  0.150  0.000  0.712
   0.08905    -14.565317  0.554  0.154  0.000  0.708
   0.10389    -14.649118  0.548  0.158  0.000  0.706
   0.11874    -14.736125  0.544  0.160  0.000  0.702
   0.13358    -14.825306  0.540  0.160  0.000  0.700
   0.14842    -14.915897  0.538  0.160  0.000  0.698
   0.16326    -15.007366  0.536  0.160  0.000  0.696
   0.17811    -15.099316  0.536  0.158  0.000  0.694
   0.19295    -15.191440  0.536  0.158  0.000  0.692
   0.20779    -15.283510  0.536  0.156  0.000  0.692
   0.22263    -15.375349  0.536  0.154  0.000  0.690
   0.23747    -15.466817  0.536  0.152  0.000  0.688
   0.25232    -15.557805  0.538  0.150  0.000  0.688
   0.26716    -15.648223  0.538  0.148  0.000  0.686
   0.28200    -15.737999  0.540  0.144  0.000  0.684
   0.29684    -15.827070  0.540  0.142  0.000  0.684
   0.31168    -15.915385  0.542  0.140  0.000  0.682
   0.32653    -16.002901  0.544  0.136  0.000  0.680
   0.34137    -16.089556  0.546  0.134  0.000  0.680
   0.35621    -16.175372  0.548  0.132  0.000  0.678
   0.37105    -16.260295  0.550  0.128  0.000  0.678
   0.38589    -16.344293  0.552  0.126  0.000  0.676
   0.40074    -16.427361  0.554  0.122  0.000  0.676
   0.41558    -16.509462  0.556  0.120  0.000  0.674
   0.43042    -16.590569  0.558  0.116  0.000  0.674
   0.44526    -16.670716  0.560  0.114  0.000  0.672
   0.46010    -16.749862  0.562  0.110  0.000  0.672
   0.47495    -16.827977  0.564  0.108  0.000  0.672
   0.48979    -16.905083  0.566  0.104  0.000  0.670
   0.50463    -16.981152  0.568  0.102  0.000  0.670
   0.51947    -17.056176  0.570  0.100  0.000  0.668
   0.53432    -17.130145  0.572  0.096  0.000  0.668
   0.54916    -17.203053  0.574  0.094  0.000  0.666
   0.56400    -17.274890  0.576  0.090  0.000  0.666
   0.57884    -17.345644  0.578  0.088  0.000  0.666
   0.59368    -17.415321  0.580  0.086  0.000  0.664
   0.60853    -17.483899  0.582  0.082  0.000  0.664
   0.62337    -17.551392  0.584  0.080  0.000  0.662
   0.63821    -17.617784  0.586  0.078  0.000  0.662
   0.65305    -17.683070  0.586  0.074  0.000  0.662
   0.66789    -17.747244  0.588  0.072  0.000  0.660
   0.68274    -17.810303  0.590  0.070  0.000  0.660
   0.69758    -17.872242  0.592  0.068  0.000  0.660
   0.71242    -17.933051  0.594  0.064  0.000  0.658
   0.72726    -17.992742  0.596  0.062  0.000  0.658
   0.74210    -18.051282  0.598  0.060  0.000  0.658
   0.75695    -18.108694  0.600  0.058  0.000  0.656
   0.77179    -18.164946  0.602  0.056  0.000  0.656
   0.78663    -18.220083  0.602  0.052  0.000  0.656
   0.80147    -18.274083  0.604  0.050  0.000  0.656
   0.81632    -18.326926  0.606  0.048  0.000  0.654
   0.83116    -18.378608  0.608  0.046  0.000  0.654
   0.84600    -18.429141  0.610  0.044  0.000  0.654
   0.86084    -18.478518  0.610  0.042  0.000  0.652
   0.87568    -18.526722  0.612  0.040  0.000  0.652
   0.89053    -18.573779  0.614  0.038  0.000  0.652
   0.90537    -18.619671  0.616  0.036  0.000  0.652
   0.92021    -18.664399  0.616  0.034  0.000  0.650
   0.93505    -18.707956  0.618  0.032  0.000  0.650
   0.94989    -18.750323  0.620  0.030  0.000  0.650
   0.96474    -18.791536  0.620  0.030  0.000  0.650
   0.97958    -18.831573  0.622  0.028  0.000  0.650
   0.99442    -18.870422  0.622  0.026  0.000  0.648
   1.00926    -18.908106  0.624  0.024  0.000  0.648
   1.02410    -18.944608  0.626  0.022  0.000  0.648
   1.03895    -18.979929  0.626  0.022  0.000  0.648
   1.05379    -19.014069  0.628  0.020  0.000  0.648
   1.06863    -19.047015  0.628  0.018  0.000  0.646
   1.08347    -19.078783  0.630  0.018  0.000  0.646
   1.09832    -19.109361  0.630  0.016  0.000  0.646
   1.11316    -19.138749  0.632  0.014  0.000  0.646
   1.12800    -19.166942  0.632  0.014  0.000  0.646
   1.14284    -19.193948  0.634  0.012  0.000  0.646
   1.15768    -19.219741  0.634  0.012  0.000  0.646
   1.17253    -19.244359  0.634  0.010  0.000  0.644
   1.18737    -19.267784  0.636  0.010  0.000  0.644
   1.20221    -19.290016  0.636  0.008  0.000  0.644
   1.21705    -19.311049  0.636  0.008  0.000  0.644
   1.23189    -19.330884  0.638  0.006  0.000  0.644
   1.24674    -19.349520  0.638  0.006  0.000  0.644
   1.26158    -19.366959  0.638  0.006  0.000  0.644
   1.27642    -19.383196  0.640  0.004  0.000  0.644
   1.29126    -19.398238  0.640  0.004  0.000  0.644
   1.30610    -19.412075  0.640  0.004  0.000  0.644
   1.32095    -19.424708  0.640  0.002  0.000  0.642
   1.33579    -19.436142  0.640  0.002  0.000  0.642
   1.35063    -19.446373  0.642  0.002  0.000  0.642
   1.36547    -19.455402  0.642  0.002  0.000  0.642
   1.38031    -19.463228  0.642  0.000  0.000  0.642
   1.39516    -19.469850  0.642  0.000  0.000  0.642
   1.41000    -19.475269  0.642  0.000  0.000  0.642
   1.42484    -19.479487  0.642  0.000  0.000  0.642
   1.43968    -19.482501  0.642  0.000  0.000  0.642
   1.45453    -19.484292  0.642  0.000  0.000  0.642
   1.46937    -19.484899  0.642  0.000  0.000  0.642
   1.46937    -19.484899  0.642  0.000  0.000  0.642
   1.48651    -19.484105  0.642  0.000  0.000  0.642
   1.50364    -19.481685  0.642  0.000  0.000  0.642
   1.52078    -19.477668  0.642  0.000  0.000  0.642
   1.53792    -19.472045  0.642  0.000  0.000  0.642
   1.55506    -19.464820  0.642  0.000  0.000  0.642
   1.57220    -19.455991  0.642  0.002  0.000  0.642
   1.58933    -19.445554  0.642  0.002  0.000  0.642
   1.60647    -19.433517  0.640  0.002  0.000  0.642
   1.62361    -19.419878  0.640  0.002  0.000  0.644
   1.64075    -19.404638  0.640  0.004  0.000  0.644
   1.65789    -19.387794  0.640  0.004  0.000  0.644
   1.67503    -19.369350  0.638  0.004  0.000  0.644
   1.69216    -19.349308  0.638  0.006  0.000  0.644
   1.70930    -19.327669  0.638  0.006  0.000  0.644
   1.72644    -19.304429  0.636  0.008  0.000  0.644
   1.74358    -19.279589  0.636  0.008  0.000  0.644
   1.76072    -19.253168  0.634  0.010  0.000  0.644
   1.77785    -19.225144  0.634  0.012  0.000  0.646
   1.79499    -19.195524  0.634  0.012  0.000  0.646
   1.81213    -19.164318  0.632  0.014  0.000  0.646
   1.82927    -19.131528  0.632  0.014  0.000  0.646
   1.84641    -19.097156  0.630  0.016  0.000  0.646
   1.86355    -19.061190  0.628  0.018  0.000  0.646
   1.88068    -19.023652  0.628  0.020  0.000  0.648
   1.89782    -18.984528  0.626  0.022  0.000  0.648
   1.91496    -18.943821  0.626  0.022  0.000  0.648
   1.93210    -18.901544  0.624  0.024  0.000  0.648
   1.94924    -18.857701  0.622  0.026  0.000  0.648
   1.96637    -18.812275  0.622  0.028  0.000  0.650
   1.98351    -18.765279  0.620  0.030  0.000  0.650
   2.00065    -18.716724  0.618  0.032  0.000  0.650
   2.01779    -18.666609  0.616  0.034  0.000  0.652
   2.03493    -18.614961  0.614  0.036  0.000  0.652
   2.05207    -18.561776  0.614  0.038  0.000  0.652
